gene	name	best_mech	resfam_mech	megares_mech	card_mech	cardisamech
B316-4_scaffold_203_46	tetA(46)	Tetracycline MFS Efflux	Efflux,Tetracycline MFS Efflux			subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B316-4_scaffold_11_289	vanXYG	Gylcopeptide Resistance	Gylcopeptide Resistance	Gylcopeptide Resistance		gene(s) or protein(s) associated with a glycopeptide resistance cluster,vanXY,protein(s) conferring antibiotic resistance via molecular bypass,determinant of resistance to glycopeptide antibiotics
B316-4_scaffold_956_44	ErmG	rRNA Methyltransferase	rRNA Methyltransferase	23S rRNA methyltransferases		determinant of lincosamide resistance,23S ribosomal RNA methyltransferase,determinant of macrolide resistance,rRNA methyltransferase conferring antibiotic resistance,determinant of streptogramin resistance,determinant of antibiotic resistance,Erm 23S ribosomal RNA methyltransferase
B316-4_scaffold_3765_13	ErmQ	rRNA Methyltransferase	rRNA Methyltransferase	23S rRNA methyltransferases		determinant of lincosamide resistance,23S ribosomal RNA methyltransferase,determinant of macrolide resistance,rRNA methyltransferase conferring antibiotic resistance,determinant of streptogramin resistance,determinant of antibiotic resistance,Erm 23S ribosomal RNA methyltransferase
B316-4_scaffold_23871_1	tetW	Tetracycline Ribosomal Protection	Tetracycline Ribosomal Protection			tetracycline-resistant ribosomal protection protein,determinant of tetracycline resistance,antibiotic target protection protein,determinant of antibiotic resistance
B316-4_scaffold_607_49	mel	Efflux	Efflux	Macrolide resistance efflux pumps		efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance,ATP-binding cassette (ABC) antibiotic efflux pump
B316-4_scaffold_9512_7	Escherichia coli CpxR	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,CpxR
B316-4_scaffold_32212_1	tet(40)	Efflux	Efflux	Tetracycline resistance ribosomal protection proteins		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B316-4_scaffold_2197_2	tetQ	Tetracycline Ribosomal Protection	Tetracycline Ribosomal Protection	Tetracycline resistance ribosomal protection proteins		tetracycline-resistant ribosomal protection protein,determinant of tetracycline resistance,antibiotic target protection protein,determinant of antibiotic resistance
B316-4_scaffold_35661_1	APH(6)-Id	Phosphotransferase	Phosphotransferase	Aminoglycoside O-phosphotransferases		aminoglycoside phosphotransferase (APH),APH(6),determinant of aminoglycoside resistance,antibiotic inactivation enzyme
B316-4_scaffold_11722_3	CblA-1	Beta-Lactamase-Class A	Beta-Lactamase-Class A	Class A betalactamases		beta-lactamase,class A beta-lactamase,CblA beta-lactamase
B316-4_scaffold_25948_2	TEM-1	Beta-Lactamase-Class A	Beta-Lactamase-Class A	Class A betalactamases		beta-lactamase,class A beta-lactamase,TEM beta-lactamase
B316-4_scaffold_7810_2	ErmX	rRNA Methyltransferase	rRNA Methyltransferase	23S rRNA methyltransferases		determinant of lincosamide resistance,23S ribosomal RNA methyltransferase,determinant of macrolide resistance,rRNA methyltransferase conferring antibiotic resistance,determinant of streptogramin resistance,determinant of antibiotic resistance,Erm 23S ribosomal RNA methyltransferase
B316-4_scaffold_22409_2	APH(2'')-IIa	Phosphotransferase	Phosphotransferase	Aminoglycoside O-phosphotransferases		aminoglycoside phosphotransferase (APH),determinant of aminoglycoside resistance,APH(2''),antibiotic inactivation enzyme
B316-5_scaffold_279_13	tetA(46)	Tetracycline MFS Efflux	Efflux,Tetracycline MFS Efflux			subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B316-5_scaffold_13671_1	CfxA2	Beta-Lactamase-Class A	Beta-Lactamase-Class A	Class A betalactamases		beta-lactamase,class A beta-lactamase,CfxA beta-lactamase
B316-5_scaffold_11656_1	tet(40)	Efflux	Efflux	Tetracycline resistance ribosomal protection proteins		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B316-5_scaffold_9652_3	AAC(6')-Ip	Acetyltransferase	Acetyltransferase	Aminoglycoside O-phosphotransferases		AAC(6'),aminoglycoside acetyltransferase (AAC),determinant of aminoglycoside resistance,antibiotic inactivation enzyme
B316-5_scaffold_17661_1	tetX	Tetracycline Inactivation	Tetracycline Inactivation	Tetracycline inactivation enzymes		determinant of antibiotic resistance,tetracycline inactivation enzyme,determinant of tetracycline resistance,antibiotic inactivation enzyme
B316-5_scaffold_476_6	CblA-1	Beta-Lactamase-Class A	Beta-Lactamase-Class A	Class A betalactamases		beta-lactamase,class A beta-lactamase,CblA beta-lactamase
B316-5_scaffold_10623_1	tetW	Tetracycline Ribosomal Protection	Tetracycline Ribosomal Protection			tetracycline-resistant ribosomal protection protein,determinant of tetracycline resistance,antibiotic target protection protein,determinant of antibiotic resistance
B316-5_scaffold_2_284	vanRG	Gene Modulating Resistance	Gene Modulating Resistance	VanG-type regulator		VanS-VanR two-component regulatory system,gene(s) or protein(s) associated with a glycopeptide resistance cluster,vanR
B316-5_scaffold_2_289	vanXYG	Gylcopeptide Resistance	Gylcopeptide Resistance	Gylcopeptide Resistance		gene(s) or protein(s) associated with a glycopeptide resistance cluster,vanXY,protein(s) conferring antibiotic resistance via molecular bypass,determinant of resistance to glycopeptide antibiotics
B316-5_scaffold_3972_5	ErmB	rRNA Methyltransferase	rRNA Methyltransferase	23S rRNA methyltransferases		determinant of lincosamide resistance,23S ribosomal RNA methyltransferase,determinant of macrolide resistance,rRNA methyltransferase conferring antibiotic resistance,determinant of streptogramin resistance,determinant of antibiotic resistance,Erm 23S ribosomal RNA methyltransferase
B316-5_scaffold_9652_2	APH(2'')-IIa	Phosphotransferase	Phosphotransferase	Aminoglycoside O-phosphotransferases		aminoglycoside phosphotransferase (APH),determinant of aminoglycoside resistance,APH(2''),antibiotic inactivation enzyme
B316-5_scaffold_419_3	ErmG	rRNA Methyltransferase	rRNA Methyltransferase	23S rRNA methyltransferases		determinant of lincosamide resistance,23S ribosomal RNA methyltransferase,determinant of macrolide resistance,rRNA methyltransferase conferring antibiotic resistance,determinant of streptogramin resistance,determinant of antibiotic resistance,Erm 23S ribosomal RNA methyltransferase
B316-5_scaffold_453_22	mel	Efflux	Efflux	Macrolide resistance efflux pumps		efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance,ATP-binding cassette (ABC) antibiotic efflux pump
B316-5_scaffold_19402_1	CfxA6	Beta-Lactamase-Class A	Beta-Lactamase-Class A	Class A betalactamases		beta-lactamase,class A beta-lactamase,CfxA beta-lactamase
B316-6_scaffold_22861_1	CfxA6	Beta-Lactamase-Class A	Beta-Lactamase-Class A	Class A betalactamases		beta-lactamase,class A beta-lactamase,CfxA beta-lactamase
B316-6_scaffold_1580_3	vanRG	Gene Modulating Resistance	Gene Modulating Resistance	VanG-type regulator		VanS-VanR two-component regulatory system,gene(s) or protein(s) associated with a glycopeptide resistance cluster,vanR
B316-6_scaffold_185_68	tet44	Tetracycline Ribosomal Protection	Tetracycline Ribosomal Protection	Tetracycline resistance ribosomal protection proteins		tetracycline-resistant ribosomal protection protein,determinant of tetracycline resistance,antibiotic target protection protein,determinant of antibiotic resistance
B316-6_scaffold_3260_6	CfxA2	Beta-Lactamase-Class A	Beta-Lactamase-Class A	Class A betalactamases		beta-lactamase,class A beta-lactamase,CfxA beta-lactamase
B316-6_scaffold_459_42	ErmG	rRNA Methyltransferase	rRNA Methyltransferase	23S rRNA methyltransferases		determinant of lincosamide resistance,23S ribosomal RNA methyltransferase,determinant of macrolide resistance,rRNA methyltransferase conferring antibiotic resistance,determinant of streptogramin resistance,determinant of antibiotic resistance,Erm 23S ribosomal RNA methyltransferase
B316-6_scaffold_19258_2	ErmB	rRNA Methyltransferase	rRNA Methyltransferase	23S rRNA methyltransferases		determinant of lincosamide resistance,23S ribosomal RNA methyltransferase,determinant of macrolide resistance,rRNA methyltransferase conferring antibiotic resistance,determinant of streptogramin resistance,determinant of antibiotic resistance,Erm 23S ribosomal RNA methyltransferase
B316-6_scaffold_252_39	tetA(46)	Tetracycline MFS Efflux	Efflux,Tetracycline MFS Efflux			subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B316-6_scaffold_1580_8	vanXYG	Gylcopeptide Resistance	Gylcopeptide Resistance	Gylcopeptide Resistance		gene(s) or protein(s) associated with a glycopeptide resistance cluster,vanXY,protein(s) conferring antibiotic resistance via molecular bypass,determinant of resistance to glycopeptide antibiotics
B316-6_scaffold_9263_1	tetW	Tetracycline Ribosomal Protection	Tetracycline Ribosomal Protection			tetracycline-resistant ribosomal protection protein,determinant of tetracycline resistance,antibiotic target protection protein,determinant of antibiotic resistance
B316-6_scaffold_159_49	mel	Efflux	Efflux	Macrolide resistance efflux pumps		efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance,ATP-binding cassette (ABC) antibiotic efflux pump
B316-6_scaffold_18365_1	tetX	Tetracycline Inactivation	Tetracycline Inactivation	Tetracycline inactivation enzymes		determinant of antibiotic resistance,tetracycline inactivation enzyme,determinant of tetracycline resistance,antibiotic inactivation enzyme
B316-6_scaffold_15403_1	tet(40)	Efflux	Efflux	Tetracycline resistance ribosomal protection proteins		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B316-6_scaffold_11337_2	AAC(6')-Ie-APH(2'')-Ia	Phosphotransferase,Acetyltransferase	Phosphotransferase,Acetyltransferase	Acetyltransferase		AAC(6'),aminoglycoside acetyltransferase (AAC),APH(2''),aminoglycoside phosphotransferase (APH),determinant of aminoglycoside resistance,antibiotic inactivation enzyme
B316-6_scaffold_1296_10	tetQ	Tetracycline Ribosomal Protection	Tetracycline Ribosomal Protection	Tetracycline resistance ribosomal protection proteins		tetracycline-resistant ribosomal protection protein,determinant of tetracycline resistance,antibiotic target protection protein,determinant of antibiotic resistance
B316-7_scaffold_8794_1	dfrF	Dihydrofolate Reductase		Dihydrofolate Reductase		determinant of diaminopyrimidine resistance,determinant of antibiotic resistance,trimethoprim resistant dihydrofolate reductase dfr,antibiotic target replacement protein,antibiotic resistant dihydrofolate reductase
B316-7_scaffold_2184_2	tetQ	Tetracycline Ribosomal Protection	Tetracycline Ribosomal Protection	Tetracycline resistance ribosomal protection proteins		tetracycline-resistant ribosomal protection protein,determinant of tetracycline resistance,antibiotic target protection protein,determinant of antibiotic resistance
B316-7_scaffold_716_10	CblA-1	Beta-Lactamase-Class A	Beta-Lactamase-Class A	Class A betalactamases		beta-lactamase,class A beta-lactamase,CblA beta-lactamase
B316-7_scaffold_4968_1	CfxA2	Beta-Lactamase-Class A	Beta-Lactamase-Class A	Class A betalactamases		beta-lactamase,class A beta-lactamase,CfxA beta-lactamase
B316-7_scaffold_8187_1	mel	Efflux	Efflux	Macrolide resistance efflux pumps		efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance,ATP-binding cassette (ABC) antibiotic efflux pump
B316-7_scaffold_432_10	tetO	Tetracycline Ribosomal Protection	Tetracycline Ribosomal Protection	Tetracycline resistance ribosomal protection proteins		tetracycline-resistant ribosomal protection protein,determinant of tetracycline resistance,antibiotic target protection protein,determinant of antibiotic resistance
B316-7_scaffold_1356_4	tetQ	Tetracycline Ribosomal Protection	Tetracycline Ribosomal Protection	Tetracycline resistance ribosomal protection proteins		tetracycline-resistant ribosomal protection protein,determinant of tetracycline resistance,antibiotic target protection protein,determinant of antibiotic resistance
B316-7_scaffold_8640_2	ErmB	rRNA Methyltransferase	rRNA Methyltransferase	23S rRNA methyltransferases		determinant of lincosamide resistance,23S ribosomal RNA methyltransferase,determinant of macrolide resistance,rRNA methyltransferase conferring antibiotic resistance,determinant of streptogramin resistance,determinant of antibiotic resistance,Erm 23S ribosomal RNA methyltransferase
B316-7_scaffold_10287_1	tetX	Tetracycline Inactivation	Tetracycline Inactivation	Tetracycline inactivation enzymes		determinant of antibiotic resistance,tetracycline inactivation enzyme,determinant of tetracycline resistance,antibiotic inactivation enzyme
B316-7_scaffold_10780_1	CfxA6	Beta-Lactamase-Class A	Beta-Lactamase-Class A	Class A betalactamases		beta-lactamase,class A beta-lactamase,CfxA beta-lactamase
B316-7_scaffold_227_7	ErmG	rRNA Methyltransferase	rRNA Methyltransferase	23S rRNA methyltransferases		determinant of lincosamide resistance,23S ribosomal RNA methyltransferase,determinant of macrolide resistance,rRNA methyltransferase conferring antibiotic resistance,determinant of streptogramin resistance,determinant of antibiotic resistance,Erm 23S ribosomal RNA methyltransferase
B320-1_scaffold_1231_7	sul1	Sulfonamide Resistant Dihydropteroate Synthases		Sulfonamide Resistant Dihydropteroate Synthases		determinant of antibiotic resistance,sulfonamide resistant dihydropteroate synthase,determinant of sulfonamide resistance,sulfonamide resistant sul,antibiotic target replacement protein
B320-1_scaffold_25676_2	ErmX	rRNA Methyltransferase	rRNA Methyltransferase	23S rRNA methyltransferases		determinant of lincosamide resistance,23S ribosomal RNA methyltransferase,determinant of macrolide resistance,rRNA methyltransferase conferring antibiotic resistance,determinant of streptogramin resistance,determinant of antibiotic resistance,Erm 23S ribosomal RNA methyltransferase
B320-1_scaffold_25343_1	lnuC	Nucleotidyltransferase		Lincosamide Nucleotidyltransferases		determinant of lincosamide resistance,lincosamide nucleotidyltransferase (LNU),determinant of antibiotic resistance,antibiotic inactivation enzyme
B320-1_scaffold_37_140	emrY	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B320-1_scaffold_208_84	mdtP	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B320-1_scaffold_208_85	mdtO	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B320-1_scaffold_42696_1	PmrF	Phosphoethanolamine Transferase		Phosphoethanolamine Transferase		phosphoethanolamine transferase conferring colistin resistance,pmr phosphoethanolamine transferase,gene altering cell wall charge,determinant of polymyxin resistance
B320-1_scaffold_13360_5	CMY-66	Beta-Lactamase-Class C	Beta-Lactamase-Class C	Class C betalactamases		CMY beta-lactamase,CMY-LAT-MOX beta-lactamase,CMY-MOX beta-lactamase,CMY-LAT beta-lactamase
B320-1_scaffold_44_146	CRP	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B320-1_scaffold_208_37	Escherichia coli LamB	Quinolone Resistance	Quinolone Resistance			protein modulating permeability to antibiotic,determinant of antibiotic resistance,gene conferring resistance via absence,Sugar Porin (SP),determinant of tetracycline resistance,determinant of fluoroquinolone resistance
B320-1_scaffold_412_39	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Isoleucyl-tRNA Transferase			Isoleucyl-tRNA Transferase	determinant of mupirocin resistance,antibiotic resistant isoleucyl-tRNA synthetase (ileS),antibiotic resistant gene variant or mutant,determinant of antibiotic resistance
B320-1_scaffold_37_42	PmrF	Phosphoethanolamine Transferase		Phosphoethanolamine Transferase		phosphoethanolamine transferase conferring colistin resistance,pmr phosphoethanolamine transferase,gene altering cell wall charge,determinant of polymyxin resistance
B320-1_scaffold_282_40	mdtC	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B320-1_scaffold_52_70	Escherichia coli acrA	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,acrA
B320-1_scaffold_37_143	evgS	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B320-1_scaffold_1231_3	dfrA12	Dihydrofolate Reductase		Dihydrofolate Reductase		determinant of diaminopyrimidine resistance,determinant of antibiotic resistance,trimethoprim resistant dihydrofolate reductase dfr,antibiotic target replacement protein,antibiotic resistant dihydrofolate reductase
B320-1_scaffold_282_43	baeR	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B320-1_scaffold_103_56	msrB	Efflux	Efflux			efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance,ATP-binding cassette (ABC) antibiotic efflux pump
B320-1_scaffold_697_25	mdtH	Efflux	Efflux	Efflux		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B320-1_scaffold_37_2	YojI	Efflux	Efflux			efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance,ATP-binding cassette (ABC) antibiotic efflux pump
B320-1_scaffold_178_40	tetQ	Tetracycline Ribosomal Protection	Tetracycline Ribosomal Protection	Tetracycline resistance ribosomal protection proteins		tetracycline-resistant ribosomal protection protein,determinant of tetracycline resistance,antibiotic target protection protein,determinant of antibiotic resistance
B320-1_scaffold_590_74	mphA	Phosphotransferase		Phosphotransferase	Macrolide Phosphotransferase	determinant of macrolide resistance,macrolide phosphotransferase (MPH),macrolide inactivation enzyme,antibiotic inactivation enzyme
B320-1_scaffold_44_5	mdtE	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B320-1_scaffold_25017_1	tetW	Tetracycline Ribosomal Protection	Tetracycline Ribosomal Protection			tetracycline-resistant ribosomal protection protein,determinant of tetracycline resistance,antibiotic target protection protein,determinant of antibiotic resistance
B320-1_scaffold_282_39	mdtB	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B320-1_scaffold_85_12	Escherichia coli rob	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		rob,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B320-1_scaffold_282_42	baeS	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B320-1_scaffold_1091_18	cpxA	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B320-1_scaffold_44_4	mdtF	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B320-1_scaffold_311_28	PmrC	Phosphoethanolamine Transferase		Phosphoethanolamine Transferase		phosphoethanolamine transferase conferring colistin resistance,pmr phosphoethanolamine transferase,gene altering cell wall charge,determinant of polymyxin resistance
B320-1_scaffold_697_37	mdtG	Efflux	Efflux	Efflux		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B320-1_scaffold_37_31	Escherichia coli GlpT with mutation conferring resistance to fosfomycin	Fosfomycin Transporter			Fosfomycin Transporter	GlpT,antibiotic resistant gene variant or mutant,determinant of antibiotic resistance,determinant of fosfomycin resistance
B320-1_scaffold_309_25	patA	Efflux	Efflux			subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B320-1_scaffold_1091_19	Escherichia coli CpxR	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,CpxR
B320-1_scaffold_19898_1	ErmQ	rRNA Methyltransferase	rRNA Methyltransferase	23S rRNA methyltransferases		determinant of lincosamide resistance,23S ribosomal RNA methyltransferase,determinant of macrolide resistance,rRNA methyltransferase conferring antibiotic resistance,determinant of streptogramin resistance,determinant of antibiotic resistance,Erm 23S ribosomal RNA methyltransferase
B320-1_scaffold_9629_3	vgaC	Efflux	Efflux			efflux pump complex or subunit conferring antibiotic resistance,vga,ATP-binding cassette (ABC) antibiotic efflux pump
B320-1_scaffold_23_12	TolC	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B320-1_scaffold_1231_2	aadA2	Nucleotidyltransferase	Nucleotidyltransferase	Aminoglycoside O-nucleotidyltransferases		ANT(3'')-Ia,aminoglycoside nucleotidyltransferase (ANT),ANT(3'')
B320-1_scaffold_37_141	emrK	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B320-1_scaffold_278_19	emrR	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B320-1_scaffold_1431_9	AcrS	Gene Modulating Resistance	Gene Modulating Resistance	Aminoglycoside efflux regulator		protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B320-1_scaffold_590_75	Mrx	Phosphotransferase			Macrolide Phosphotransferase	determinant of macrolide resistance,macrolide phosphotransferase (MPH),macrolide inactivation enzyme,antibiotic inactivation enzyme
B320-1_scaffold_1231_15	aadA2	Nucleotidyltransferase	Nucleotidyltransferase	Aminoglycoside O-nucleotidyltransferases		ANT(3'')-Ia,aminoglycoside nucleotidyltransferase (ANT),ANT(3'')
B320-1_scaffold_10646_6	mel	Efflux	Efflux	Macrolide resistance efflux pumps		efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance,ATP-binding cassette (ABC) antibiotic efflux pump
B320-1_scaffold_55_74	MdfA	Efflux	Efflux	Efflux		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B320-1_scaffold_61_126	acrD	Efflux	Efflux	Aminoglycoside efflux pumps		efflux pump complex or subunit conferring antibiotic resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,determinant of antibiotic resistance
B320-1_scaffold_52_71	acrB	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B320-1_scaffold_219_52	mdtL	Efflux	Efflux	Efflux		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B320-1_scaffold_44_1	gadX	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B320-1_scaffold_37_142	evgA	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B320-1_scaffold_219_17	emrD	Efflux	Efflux	Efflux		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B320-1_scaffold_278_20	emrA	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B320-1_540|phage|1|27797_48760_24	msbA	Efflux	Efflux			efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance,ATP-binding cassette (ABC) antibiotic efflux pump
B320-1_scaffold_1231_16	dfrA12	Dihydrofolate Reductase		Dihydrofolate Reductase		determinant of diaminopyrimidine resistance,determinant of antibiotic resistance,trimethoprim resistant dihydrofolate reductase dfr,antibiotic target replacement protein,antibiotic resistant dihydrofolate reductase
B320-1_scaffold_14_152	marA	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein(s) and two-component regulatory system modulating antibiotic efflux,protein modulating permeability to antibiotic,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B320-1_scaffold_590_63	SHV-30	Beta-Lactamase-Class A	Beta-Lactamase-Class A	Class A betalactamases		SHV beta-lactamase,LEN beta-lactamase,OKP beta-lactamase,class A beta-lactamase,SHV-LEN beta-lactamase,beta-lactamase
B320-1_scaffold_1231_9	QnrB13	Quinolone Resistance	Quinolone Resistance	Quinolone resistance protein Qnr		quinolone resistance protein (qnr),antibiotic target protection protein,determinant of antibiotic resistance,determinant of fluoroquinolone resistance
B320-1_scaffold_5315_1	CfxA2	Beta-Lactamase-Class A	Beta-Lactamase-Class A	Class A betalactamases		beta-lactamase,class A beta-lactamase,CfxA beta-lactamase
B320-1_scaffold_1231_13	sul1	Sulfonamide Resistant Dihydropteroate Synthases		Sulfonamide Resistant Dihydropteroate Synthases		determinant of antibiotic resistance,sulfonamide resistant dihydropteroate synthase,determinant of sulfonamide resistance,sulfonamide resistant sul,antibiotic target replacement protein
B320-1_scaffold_309_10	bacA	Undecaprenyl Pyrophosphate Phosphatase		Undecaprenyl Pyrophosphate Phosphatase		determinant of resistance to peptide antibiotics,determinant of antibiotic resistance,bacitracin resistance gene,protein(s) conferring antibiotic resistance via molecular bypass,undecaprenyl pyrophosphate related proteins conferring resistance to bacitracin
B320-1_scaffold_38164_1	CfxA6	Beta-Lactamase-Class A	Beta-Lactamase-Class A	Class A betalactamases		beta-lactamase,class A beta-lactamase,CfxA beta-lactamase
B320-1_scaffold_37_43	arnA	Phosphoethanolamine Transferase		Phosphoethanolamine Transferase		phosphoethanolamine transferase conferring colistin resistance,pmr phosphoethanolamine transferase,gene altering cell wall charge,determinant of polymyxin resistance
B320-1_scaffold_1439_19	kdpE	Gene Modulating Resistance	Gene Modulating Resistance			protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B320-1_scaffold_5806_9	ErmB	rRNA Methyltransferase	rRNA Methyltransferase	23S rRNA methyltransferases		determinant of lincosamide resistance,23S ribosomal RNA methyltransferase,determinant of macrolide resistance,rRNA methyltransferase conferring antibiotic resistance,determinant of streptogramin resistance,determinant of antibiotic resistance,Erm 23S ribosomal RNA methyltransferase
B320-1_scaffold_282_38	mdtA	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B320-1_scaffold_85_94	leuO	Gene Modulating Resistance	Gene Modulating Resistance			protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B320-1_scaffold_170_99	H-NS	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B320-1_scaffold_1431_8	AcrE	Efflux	Efflux	Aminoglycoside efflux pumps		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B320-1_scaffold_4882_11	tetO	Tetracycline Ribosomal Protection	Tetracycline Ribosomal Protection	Tetracycline resistance ribosomal protection proteins		tetracycline-resistant ribosomal protection protein,determinant of tetracycline resistance,antibiotic target protection protein,determinant of antibiotic resistance
